freq=2099.487305 w=327.636719 
freq=2110.253906 w=327.636719 
freq=2121.020508 w=327.636719 
freq=2131.787109 w=327.636719 
freq=2142.553711 w=327.636719 
freq=2153.320312 w=349.121094 
freq=2164.086914 w=349.121094 
freq=2174.853516 w=349.121094 
freq=2185.620117 w=349.121094 
freq=2196.386719 w=349.121094 
freq=2207.153320 w=349.121094 
freq=2217.919922 w=349.121094 
freq=2228.686523 w=349.121094 
freq=2239.453125 w=349.121094 
freq=2250.219727 w=349.121094 
freq=2260.986328 w=349.121094 
freq=2271.752930 w=349.121094 
freq=2282.519531 w=359.863281 
freq=2293.286133 w=359.863281 
freq=2304.052734 w=359.863281 
freq=2314.819336 w=359.863281 
freq=2325.585938 w=381.347656 
freq=2336.352539 w=381.347656 
freq=2347.119141 w=386.718750 
freq=2357.885742 w=386.718750 
freq=2368.652344 w=386.718750 
freq=2379.418945 w=386.718750 
freq=2390.185547 w=386.718750 
freq=2400.952148 w=386.718750 
freq=2411.718750 w=386.718750 
freq=2422.485352 w=408.203125 
freq=2433.251953 w=408.203125 
freq=2444.018555 w=408.203125 
freq=2454.785156 w=408.203125 
freq=2465.551758 w=408.203125 
freq=2476.318359 w=408.203125 
freq=2487.084961 w=408.203125 
freq=2497.851562 w=408.203125 
freq=2508.618164 w=408.203125 
freq=2519.384766 w=408.203125 
freq=2530.151367 w=408.203125 
freq=2540.917969 w=408.203125 
freq=2551.684570 w=408.203125 
freq=2562.451172 w=408.203125 
freq=2573.217773 w=408.203125 
freq=2583.984375 w=408.203125 
freq=2594.750977 w=408.203125 
freq=2605.517578 w=408.203125 
freq=2616.284180 w=451.171875 
freq=2627.050781 w=451.171875 
freq=2637.817383 w=451.171875 
freq=2648.583984 w=429.687500 
freq=2659.350586 w=429.687500 
freq=2670.117188 w=429.687500 
freq=2680.883789 w=429.687500 
freq=2691.650391 w=429.687500 
freq=2702.416992 w=429.687500 
freq=2713.183594 w=451.171875 
freq=2723.950195 w=451.171875 
freq=2734.716797 w=472.656250 
freq=2745.483398 w=472.656250 
freq=2756.250000 w=472.656250 
freq=2767.016602 w=472.656250 
freq=2777.783203 w=472.656250 
freq=2788.549805 w=472.656250 
freq=2799.316406 w=472.656250 
freq=2810.083008 w=472.656250 
freq=2820.849609 w=472.656250 
freq=2831.616211 w=472.656250 
freq=2842.382812 w=472.656250 
freq=2853.149414 w=472.656250 
freq=2863.916016 w=472.656250 
freq=2874.682617 w=472.656250 
freq=2885.449219 w=472.656250 
freq=2896.215820 w=472.656250 
freq=2906.982422 w=472.656250 
freq=2917.749023 w=494.140625 
freq=2928.515625 w=494.140625 
freq=2939.282227 w=494.140625 
freq=2950.048828 w=494.140625 
freq=2960.815430 w=494.140625 
freq=2971.582031 w=494.140625 
freq=2982.348633 w=494.140625 
freq=2993.115234 w=494.140625 
freq=3003.881836 w=515.625000 
freq=3014.648438 w=515.625000 
freq=3025.415039 w=515.625000 
freq=3036.181641 w=515.625000 
freq=3046.948242 w=515.625000 
freq=3057.714844 w=515.625000 
freq=3068.481445 w=537.109375 
freq=3079.248047 w=537.109375 
freq=3090.014648 w=537.109375 
freq=3100.781250 w=537.109375 
freq=3111.547852 w=537.109375 
freq=3122.314453 w=537.109375 
freq=3133.081055 w=537.109375 
freq=3143.847656 w=537.109375 
freq=3154.614258 w=537.109375 
freq=3165.380859 w=537.109375 
freq=3176.147461 w=537.109375 
freq=3192.297363 w=558.593750 
freq=3208.447266 w=558.593750 
freq=3224.597168 w=558.593750 
freq=3240.747070 w=558.593750 
freq=3256.896973 w=558.593750 
freq=3273.046875 w=558.593750 
freq=3289.196777 w=558.593750 
freq=3305.346680 w=580.078125 
freq=3321.496582 w=580.078125 
freq=3337.646484 w=580.078125 
freq=3353.796387 w=580.078125 
freq=3369.946289 w=580.078125 
freq=3386.096191 w=580.078125 
freq=3402.246094 w=580.078125 
freq=3418.395996 w=601.562500 
freq=3434.545898 w=601.562500 
freq=3450.695801 w=601.562500 
freq=3466.845703 w=601.562500 
freq=3482.995605 w=601.562500 
freq=3499.145508 w=601.562500 
freq=3515.295410 w=601.562500 
freq=3531.445312 w=601.562500 
freq=3547.595215 w=623.046875 
freq=3563.745117 w=623.046875 
freq=3579.895020 w=623.046875 
freq=3596.044922 w=623.046875 
freq=3612.194824 w=623.046875 
freq=3628.344727 w=623.046875 
freq=3644.494629 w=623.046875 
freq=3660.644531 w=644.531250 
freq=3676.794434 w=644.531250 
freq=3692.944336 w=644.531250 
freq=3709.094238 w=644.531250 
freq=3725.244141 w=644.531250 
freq=3741.394043 w=644.531250 
freq=3757.543945 w=644.531250 
freq=3773.693848 w=666.015625 
freq=3789.843750 w=666.015625 
freq=3805.993652 w=666.015625 
freq=3822.143555 w=666.015625 
freq=3838.293457 w=666.015625 
freq=3854.443359 w=666.015625 
freq=3870.593262 w=687.500000 
freq=3886.743164 w=687.500000 
freq=3902.893066 w=687.500000 
freq=3919.042969 w=687.500000 
freq=3935.192871 w=687.500000 
freq=3951.342773 w=698.242188 
freq=3967.492676 w=698.242188 
freq=3983.642578 w=698.242188 
freq=3999.792480 w=698.242188 
freq=4015.942383 w=698.242188 
freq=4032.092285 w=698.242188 
freq=4048.242188 w=698.242188 
freq=4064.392090 w=698.242188 
freq=4080.541992 w=698.242188 
freq=4096.691895 w=698.242188 
freq=4112.841797 w=719.726562 
freq=4128.991699 w=719.726562 
freq=4145.141602 w=719.726562 
freq=4161.291504 w=741.210938 
freq=4177.441406 w=719.726562 
freq=4193.591309 w=741.210938 
freq=4209.741211 w=741.210938 
freq=4225.891113 w=762.695312 
freq=4242.041016 w=741.210938 
freq=4258.190918 w=762.695312 
freq=4274.340820 w=762.695312 
freq=4290.490723 w=741.210938 
freq=4306.640625 w=762.695312 
freq=4322.790527 w=762.695312 
freq=4338.940430 w=741.210938 
freq=4355.090332 w=762.695312 
freq=4371.240234 w=762.695312 
freq=4387.390137 w=784.179688 
freq=4403.540039 w=762.695312 
freq=4419.689941 w=784.179688 
freq=4435.839844 w=784.179688 
freq=4451.989746 w=762.695312 
freq=4468.139648 w=784.179688 
freq=4484.289551 w=762.695312 
freq=4500.439453 w=762.695312 
freq=4516.589355 w=784.179688 
freq=4532.739258 w=784.179688 
freq=4548.889160 w=784.179688 
freq=4565.039062 w=784.179688 
freq=4586.572266 w=827.148438 
freq=4608.105469 w=784.179688 
freq=4629.638672 w=827.148438 
freq=4651.171875 w=805.664062 
freq=4672.705078 w=827.148438 
freq=4694.238281 w=805.664062 
freq=4715.771484 w=816.406250 
freq=4737.304688 w=816.406250 
freq=4758.837891 w=816.406250 
freq=4780.371094 w=816.406250 
freq=4801.904297 w=816.406250 
freq=4823.437500 w=816.406250 
freq=4844.970703 w=816.406250 
freq=4866.503906 w=816.406250 
freq=4888.037109 w=816.406250 
freq=4909.570312 w=816.406250 
freq=4931.103516 w=859.375000 
freq=4952.636719 w=859.375000 
freq=4974.169922 w=859.375000 
freq=4995.703125 w=859.375000 
freq=5017.236328 w=859.375000 
freq=5038.769531 w=859.375000 
freq=5060.302734 w=859.375000 
freq=5081.835938 w=859.375000 
freq=5103.369141 w=859.375000 
freq=5124.902344 w=859.375000 
freq=5146.435547 w=902.343750 
freq=5167.968750 w=859.375000 
freq=5189.501953 w=902.343750 
freq=5211.035156 w=859.375000 
freq=5232.568359 w=902.343750 
freq=5254.101562 w=902.343750 
freq=5275.634766 w=902.343750 
freq=5297.167969 w=902.343750 
freq=5318.701172 w=902.343750 
freq=5340.234375 w=902.343750 
freq=5361.767578 w=902.343750 
freq=5383.300781 w=902.343750 
freq=5404.833984 w=902.343750 
freq=5426.367188 w=945.312500 
freq=5447.900391 w=902.343750 
freq=5469.433594 w=945.312500 
freq=5490.966797 w=945.312500 
freq=5512.500000 w=945.312500 
freq=5534.033203 w=945.312500 
freq=5555.566406 w=945.312500 
freq=5577.099609 w=945.312500 
freq=5598.632812 w=945.312500 
freq=5620.166016 w=945.312500 
freq=5641.699219 w=945.312500 
freq=5663.232422 w=988.281250 
freq=5684.765625 w=945.312500 
freq=5706.298828 w=988.281250 
freq=5727.832031 w=945.312500 
freq=5749.365234 w=988.281250 
freq=5770.898438 w=945.312500 
freq=5792.431641 w=988.281250 
freq=5813.964844 w=988.281250 
freq=5835.498047 w=988.281250 
freq=5857.031250 w=988.281250 
freq=5878.564453 w=988.281250 
freq=5900.097656 w=988.281250 
freq=5921.630859 w=988.281250 
freq=5943.164062 w=1031.250000 
freq=5964.697266 w=988.281250 
freq=5986.230469 w=1031.250000 
freq=6007.763672 w=988.281250 
freq=6029.296875 w=1031.250000 
freq=6050.830078 w=988.281250 
freq=6072.363281 w=1031.250000 
freq=6093.896484 w=1031.250000 
freq=6115.429688 w=1031.250000 
freq=6136.962891 w=1074.218750 
freq=6158.496094 w=1031.250000 
freq=6180.029297 w=1074.218750 
freq=6201.562500 w=1031.250000 
freq=6223.095703 w=1074.218750 
freq=6244.628906 w=1031.250000 
freq=6266.162109 w=1074.218750 
freq=6287.695312 w=1074.218750 
freq=6309.228516 w=1074.218750 
freq=6330.761719 w=1074.218750 
freq=6352.294922 w=1074.218750 
freq=6373.828125 w=1074.218750 
freq=6395.361328 w=1074.218750 
freq=6422.277832 w=1117.187500 
freq=6449.194336 w=1117.187500 
freq=6470.727539 w=1074.218750 
freq=6497.644043 w=1117.187500 
freq=6524.560547 w=1117.187500 
